title,year,audience_score,critics_score
the devils bath,2024,6.2,9.1
the gentlemen,2019,8.4,7.6
the surfer,2024,4.6,8.4
the greatest showman,2017,8.6,5.6
where the crawdads sing,2022,9.6,3.4
the assessment,2024,9.2,8.4
the marvels,2023,7.9,6.3
kraven the hunter,2024,7.2,1.5
the blackening,2022,8.5,8.7
the wild robot,2024,9.8,9.7
the accountant 2,2025,9.2,7.5
the dead dont die,2019,3.8,5.5
the nun ii,2023,7.2,5.1
avatar,2022,9.2,7.6
the mummy,2017,3.5,1.5
the hunger games,2023,8.9,6.4
leave the world behind,2023,3.6,7.3
the first omen,2024,6.9,8.3
the lighthouse,2019,7.2,9.0
the watchers,2024,5.0,3.2
guardians of the galaxy vol 3,2023,9.4,8.2
the dark tower,2017,4.4,1.6
shangchi and the legend of the ten rings,2021,9.8,9.2
spinal tap ii,2025,9.0,6.6
the boogeyman,2023,6.5,6.0
the family plan,2023,6.0,2.9
the wretched,2019,4.7,7.4
sonic the hedgehog 3,2024,9.5,8.6
the love witch,2016,6.1,9.5
blow the man down,2019,7.4,9.9
the stranger,2022,7.4,9.2
manchester by the sea,2016,7.8,9.6
the surrender,2025,4.8,8.5
the friend,2024,8.0,8.4
emily the criminal,2022,7.9,9.3
the wonderful story of henry sugar,2023,8.1,9.5
the map that leads to you,2025,5.7,3.8
the legend of ochi,2025,6.3,7.5
the king of kings,2025,9.7,6.1
the ritual,2025,4.7,0.9
the way back,2020,8.4,8.5
apocalypse in the tropics,2024,8.1,9.0
the penguin lessons,2024,9.5,7.7
the count of monte cristo,2024,9.4,9.7
the shape of water,2017,7.3,9.2
the wolf of snow hollow,2020,6.4,9.0
the worst person in the world,2021,8.6,9.6
the king,2019,8.4,7.1
the accountant,2016,7.7,5.3
maze runner,2018,5.8,4.3
all quiet on the western front,2022,9.0,9.0
the pale blue eye,2022,6.9,6.2
the killer,2023,6.1,8.5
the iron claw,2023,9.4,8.9
the crow,2024,6.2,2.2
the alto knights,2025,7.0,4.0
the strangers,2024,4.5,2.1
star wars,2017,4.1,9.1
the night house,2020,6.9,8.8
the northman,2022,6.4,9.0
guy ritchies the covenant,2023,9.8,8.2
the creator,2023,7.5,6.7
the beekeeper,2024,9.2,7.1
scary stories to tell in the dark,2019,7.2,7.8
dr seuss the grinch,2018,5.4,6.0
star wars,2019,8.6,5.1
venom,2024,7.9,4.0
the popes exorcist,2023,8.0,5.1
the fall guy,2024,8.4,8.2
spiderman,2023,9.5,9.5
