title,year,audience_score,critics_score
silent night,2021,4.7,6.7
night shift,2023,8.3,7.8
live by night,2016,4.2,3.5
extremely wicked shockingly evil and vile,2019,5.7,5.4
horizon,2024,7.0,5.1
alice through the looking glass,2016,4.8,2.9
aquaman,2018,7.2,6.6
the strangers,2018,3.6,4.0
my life as a zucchini,2016,8.9,9.9
winnie the pooh,2024,7.3,4.5
game night,2018,7.8,8.5
our souls at night,2017,7.6,9.1
xmen,2016,6.5,4.7
beauty and the beast,2017,8.0,7.1
nocturnal animals,2016,7.4,7.4
the girl with all the gifts,2016,6.7,8.6
last night in soho,2021,8.9,7.5
antman and the wasp,2018,7.9,8.7
saturday night,2024,8.3,7.7
violent night,2022,8.8,7.4
night swim,2024,4.2,1.9
the night of the 12th,2022,9.3,9.4
against the night,2017,8.8,0.9
gone in the night,2022,1.8,4.4
the night is short walk on girl,2017,8.6,9.0
vanished into the night,2024,1.9,4.3
the night clerk,2020,3.1,3.4
the spine of night,2021,6.3,8.0
the night comes for us,2018,8.3,9.2
one night in miami,2020,7.8,9.8
night raiders,2021,4.7,8.3
the greatest night in pop,2024,8.9,9.8
night of the hunted,2023,3.3,6.4
nightride,2021,9.6,8.6
night teeth,2021,4.9,3.8
fear the night,2023,2.1,3.1
late night,2019,7.7,8.0
night at the museum,2022,3.6,7.7
the 8th night,2021,3.9,7.1
night school,2018,3.8,2.7
rough night,2017,2.9,4.5
silent night,2023,5.0,6.0
night in paradise,2020,7.5,6.8
the long night,2022,2.4,4.1
the night stalker,2016,5.0,8.3
the passengers of the night,2022,6.3,9.0
night comes on,2018,7.5,9.8
good night oppy,2022,10.0,8.7
personality crisis,2022,6.8,10.0
the night,2020,4.7,8.1
black as night,2021,3.0,7.0
night at the eagle inn,2021,3.5,8.0
night drive,2021,5.7,10.0
sword art online the movie progressive aria of a starless night,2021,9.5,8.3
manhattan night,2016,5.2,3.5
survive the night,2020,5.1,1.3
on the beach at night alone,2017,6.9,9.2
the night watchmen,2016,6.6,8.6
the sunlit night,2019,6.4,3.1
nights end,2022,1.8,4.8
lost in the night,2023,6.7,6.0
on a magical night,2019,3.3,6.5
sword art online the movie,2022,9.2,4.2
that good night,2017,5.0,4.8
here and now blue night,2018,1.3,2.3
night of the animated dead,2021,3.6,2.2
silent night,2020,2.7,4.3
the last night of amore,2023,8.5,8.6
beyond the night,2018,7.6,8.6
dark night,2017,2.8,6.1
american night,2021,8.8,2.9
a midsummer nights dream,2017,6.5,6.5
amateur night,2016,2.5,0.0
one night in bangkok,2020,3.5,3.3
night of something strange,2016,3.7,6.0
exterior night,2022,8.2,8.9
night shift,2020,4.0,6.7
the night sitter,2018,5.8,7.8
take back the night,2021,4.4,7.3
this is the night,2021,4.8,1.4
night of the kings,2020,6.3,9.6
opening night,2016,6.4,8.3
take the night,2022,7.6,7.7
spa night,2016,6.0,9.6
summer night,2019,2.2,5.5
queen of hearts,2019,8.0,9.7
queen of katwe,2016,8.6,9.4
somewhere quiet,2023,2.7,9.3
the quiet ones,2025,9.9,4.2
blood quantum,2019,4.1,9.0
the babysitter,2020,5.7,4.6
the man who killed don quixote,2018,6.0,6.6
haunting of the queen mary,2023,5.0,6.0
mountain queen,2023,9.0,10.0
scream queen my nightmare on elm street,2019,8.8,10.0
the quiet girl,2022,9.3,9.7
somewhere in queens,2022,9.2,9.2
the queen of black magic,2020,7.3,9.1
the queens corgi,2019,3.6,0.0
soft  quiet,2022,4.5,8.4
queer,2024,6.5,7.7
fear street,2025,2.4,2.7
quiz lady,2023,7.9,8.3
mary queen of scots,2018,4.1,6.2
queen  slim,2019,9.2,8.2
margrete,2021,7.5,9.5
queen bees,2021,8.9,5.5
qala,2022,8.1,8.0
batman and harley quinn,2017,5.1,5.0
quezons game,2018,6.5,4.5
the quintessential quintuplets movie,2022,9.6,9.2
quasi,2023,6.2,4.1
the velvet queen,2021,8.6,10.0
queenpins,2021,8.2,4.8
quantum cowboys,2022,9.0,10.0
the quarry,2020,3.8,4.2
the elephant queen,2018,8.8,9.1
qt8,2019,8.6,9.2
quicksand,2023,2.1,3.3
the quake,2018,6.5,8.5
a quiet passion,2016,4.8,9.2
quo vadis aida,2020,9.0,10.0
dancing queens,2021,5.8,4.0
qu culpa tiene el nio,2016,5.4,5.4
not going quietly,2021,9.1,10.0
queendom,2023,5.5,10.0
queer planet,2023,5.3,10.0
the queen of spain,2016,3.7,3.0
sky ladder,2016,8.5,10.0
space wars,2023,8.6,6.0
quincy,2018,8.2,8.2
a question of faith,2017,7.6,4.0
queens on the run,2023,4.0,2.0
never surrender,2020,9.2,10.0
all the queens horses,2017,9.6,8.0
the quiet epidemic,2022,9.6,10.0
queer japan,2019,8.3,10.0
queen marie,2019,7.8,6.3
the warrior queen of jhansi,2019,7.8,2.9
queenmaker,2023,2.2,8.3
jim gaffigan,2019,9.1,10.0
the dog who wouldnt be quiet,2021,7.5,10.0
the quietude,2018,6.4,6.4
keep quiet,2016,7.5,10.0
eat that question,2016,7.4,9.2
the quiet one,2019,9.3,6.4
quest,2017,7.5,9.8
suzi q,2019,9.5,10.0
us,2019,6.1,9.3
underwater,2020,6.0,4.8
set it up,2018,6.9,9.2
unknown number,2025,6.9,8.5
the upside,2019,8.2,4.3
wish upon,2017,3.1,2.0
hurry up tomorrow,2025,6.1,1.4
possessor,2020,5.9,9.4
universal language,2024,7.6,9.5
the union,2024,2.4,3.5
uncut gems,2019,5.2,9.1
the mountain between us,2017,4.9,3.9
the unbreakable boy,2025,9.7,4.3
guns up,2025,7.7,6.1
my heart cant beat unless you tell it to,2020,6.1,9.8
unhinged,2020,7.7,4.9
the unforgivable,2021,7.5,3.8
handling the undead,2024,4.3,7.6
unfriended,2018,4.1,6.0
unfrosted,2024,4.9,3.9
upgraded,2024,6.5,7.6
uglies,2024,4.3,1.4
the unholy,2021,5.7,2.7
under paris,2024,3.0,6.4
it ends with us,2024,8.8,5.4
6 underground,2019,6.0,3.6
the unbearable weight of massive talent,2022,8.7,8.7
american underdog,2021,9.8,7.5
upgrade,2018,8.8,8.8
uncharted,2022,8.9,4.1
the breaker upperers,2018,5.1,8.9
uss indianapolis,2016,2.9,1.8
concrete utopia,2023,7.5,10.0
unlocked,2017,4.5,2.6
uprising,2024,7.9,8.0
dont hang up,2016,3.2,3.3
the untamed,2016,5.7,8.6
uproar,2023,8.4,10.0
deliver us,2023,5.9,6.5
i used to be funny,2023,6.8,8.3
the unlikely pilgrimage of harold fry,2023,7.6,7.4
evangelion,2021,9.1,10.0
the minute you wake up dead,2022,1.9,0.0
unsane,2018,5.9,8.0
somebody i used to know,2023,6.0,7.1
kesari chapter 2,2025,9.7,3.9
showing up,2022,4.7,8.9
it is in us all,2022,7.1,7.9
once upon a deadpool,2018,6.1,5.7
umma,2022,5.1,3.2
underworld,2016,4.9,2.1
unstoppable,2024,8.6,7.7
captain underpants,2017,6.3,8.7
the hate u give,2018,8.1,9.7
unforgettable,2017,3.3,2.9
teri baaton mein aisa uljha jiya,2024,7.2,4.0
words bubble up like soda pop,2020,8.5,10.0
unlocked,2023,8.2,4.5
unsung hero,2023,9.9,6.1
deliver us from evil,2020,8.1,9.5
unicorn wars,2022,8.9,8.1
unknown,2023,7.2,10.0
shin ultraman,2022,8.4,9.4
the velvet underground,2021,7.9,9.8
unstoppable,2018,7.2,8.0
unpregnant,2020,1.6,9.2
i used to be famous,2022,8.3,8.9
injustice,2021,4.2,5.0
what haunts us,2018,7.4,10.0
unwelcome,2022,4.3,6.7
the space between us,2017,5.5,1.7
unleashed,2016,7.0,7.5
uglydolls,2019,5.4,3.0
steven universe,2019,8.6,10.0
til death do us part,2023,5.0,3.3
the big ugly,2020,7.7,4.0
unicorns,2023,9.3,7.7
uncorked,2020,6.3,9.4
straight up,2019,7.0,9.3
47 meters down,2019,6.8,4.4
beavis and butthead do the universe,2022,8.4,9.7
a united kingdom,2016,7.7,8.3
unplanned,2019,9.4,4.2
spirit untamed,2021,9.5,4.8
uncle drew,2018,4.8,6.2
uncle frank,2020,8.3,7.7
keeping up with the joneses,2016,3.7,2.0
once upon a time in venice,2017,2.8,2.1
one of us,2017,8.3,9.6
uri,2019,9.2,5.7
sardar udham,2021,9.4,9.5
us and them,2018,9.1,10.0
status update,2018,4.9,0.0
unhuman,2022,6.8,5.0
unseen,2023,6.7,8.8
undergods,2020,4.1,8.3
thelma the unicorn,2024,4.2,6.0
as they made us,2022,7.9,8.1
kingdom of us,2017,8.3,10.0
the unseen,2016,4.9,10.0
the united states vs billie holiday,2021,7.9,5.5
the underdoggs,2024,5.5,4.2
david byrnes american utopia,2020,8.5,9.7
stephen curry,2023,8.7,8.5
unfriend,2016,2.8,1.7
i used to go here,2020,3.6,8.6
pokmon the movie,2018,6.9,7.1
1000 me,2023,5.7,10.0
the woman under the stage,2023,8.3,10.0
woodlands dark and days bewitched,2021,9.1,10.0
tanhaji,2020,8.8,7.5
wake up,2023,7.2,6.9
uchiage hanabi shita kara miru ka yoko kara miru ka,2017,6.0,4.5
untitled horror movie,2021,6.8,8.2
beyond utopia,2023,9.9,10.0
trespass against us,2016,2.6,5.6
coming home in the dark,2021,4.5,9.2
flora and ulysses,2020,6.0,7.3
regarding us,2024,10.0,9.0
dark crimes,2016,3.2,0.0
lakota nation vs united states,2022,7.6,10.0
beneath us,2019,5.1,2.2
super dark times,2017,7.2,8.9
unidentified objects,2022,7.7,8.6
under the stadium lights,2021,4.6,1.1
undine,2020,6.7,8.9
lovely dark and deep,2023,3.4,8.9
aristotle and dante discover the secrets of the universe,2022,9.5,8.8
uncle peckerhead,2020,6.6,10.0
down a dark hall,2018,2.1,4.6
the deep dark,2023,9.3,10.0
dark wind,2017,8.8,8.0
yugioh,2016,7.6,4.0
rumble through the dark,2023,9.6,7.0
dark windows,2023,3.9,4.3
its not yet dark,2016,6.7,9.5
a dark place,2018,7.3,6.0
faceless after dark,2023,3.1,7.7
justice league dark,2017,7.0,8.0
dark obsession,2023,9.6,5.7
the dark,2018,5.7,8.9
dark glasses,2022,3.9,5.2
they wait in the dark,2022,4.1,9.3
the dark tapes,2017,5.5,8.9
the dark divide,2020,6.7,9.3
dark nature,2022,1.0,7.2
dark encounter,2019,3.8,6.7
dark river,2017,6.1,8.1
transference,2020,0.8,0.0
dark figure of crime,2018,7.1,8.0
the dark red,2018,5.8,7.5
a dark foe,2020,8.9,6.0
dark money,2018,6.6,9.6
trevor noah,2017,4.3,10.0
dark signal,2016,3.3,3.3
