Category,Year,Film,FilmId
SHORT FILM (Live Action),2023,The After,tt28532006
SHORT FILM (Live Action),2023,Invincible,tt22749100
SHORT FILM (Live Action),2023,Knight of Fortune,tt26600054
SHORT FILM (Live Action),2023,"Red, White and Blue",tt27759823
SHORT FILM (Live Action),2023,The Wonderful Story of Henry Sugar,tt16968450
SOUND,2023,The Creator,tt11858890
SOUND,2023,Mission: Impossible - Dead Reckoning Part One,tt9603212
VISUAL EFFECTS,2023,Godzilla Minus One,tt23289160
VISUAL EFFECTS,2023,Guardians of the Galaxy Vol. 3,tt6791350
WRITING (Original Screenplay),2023,May December,tt13651794
ACTOR IN A LEADING ROLE,2024,The Brutalist,tt8999762
ACTOR IN A LEADING ROLE,2024,A Complete Unknown,tt11563598
ACTOR IN A LEADING ROLE,2024,Sing Sing,tt28479262
ACTOR IN A LEADING ROLE,2024,Conclave,tt20215234
ACTOR IN A LEADING ROLE,2024,The Apprentice,tt8368368
ACTOR IN A SUPPORTING ROLE,2024,Anora,tt28607951
ACTOR IN A SUPPORTING ROLE,2024,A Real Pain,tt21823606
ACTRESS IN A LEADING ROLE,2024,Wicked,tt1262426
ACTRESS IN A LEADING ROLE,2024,Emilia Pérez,tt20221436
ACTRESS IN A LEADING ROLE,2024,The Substance,tt17526714
ACTRESS IN A LEADING ROLE,2024,I'm Still Here,tt14961016
ANIMATED FEATURE FILM,2024,Flow,tt4772188
ANIMATED FEATURE FILM,2024,Inside Out 2,tt22022452
ANIMATED FEATURE FILM,2024,Memoir of a Snail,tt23770030
ANIMATED FEATURE FILM,2024,Wallace & Gromit: Vengeance Most Fowl,tt17163970
ANIMATED FEATURE FILM,2024,The Wild Robot,tt29623480
ANIMATED SHORT FILM,2024,Beautiful Men,tt30835281
ANIMATED SHORT FILM,2024,In the Shadow of the Cypress,tt28768883
ANIMATED SHORT FILM,2024,Magic Candies,tt31888603
ANIMATED SHORT FILM,2024,Wander to Wonder,tt28768679
ANIMATED SHORT FILM,2024,Yuck!,tt28356173
CINEMATOGRAPHY,2024,Dune: Part Two,tt15239678
CINEMATOGRAPHY,2024,Maria,tt22893404
CINEMATOGRAPHY,2024,Nosferatu,tt5040012
COSTUME DESIGN,2024,Gladiator II,tt9218128
DOCUMENTARY FEATURE FILM,2024,Black Box Diaries,tt30227076
DOCUMENTARY FEATURE FILM,2024,No Other Land,tt30953759
DOCUMENTARY FEATURE FILM,2024,Porcelain War,tt30294282
DOCUMENTARY FEATURE FILM,2024,Soundtrack to a Coup d'Etat,tt14452174
DOCUMENTARY FEATURE FILM,2024,Sugarcane,tt30319854
DOCUMENTARY SHORT FILM,2024,Death by Numbers,tt33385063
DOCUMENTARY SHORT FILM,2024,"I Am Ready, Warden",tt31556921
DOCUMENTARY SHORT FILM,2024,Incident,tt27990245
DOCUMENTARY SHORT FILM,2024,Instruments of a Beating Heart,tt32280470
DOCUMENTARY SHORT FILM,2024,The Only Girl in the Orchestra,tt29497240
INTERNATIONAL FEATURE FILM,2024,The Girl with the Needle,tt10236164
INTERNATIONAL FEATURE FILM,2024,The Seed of the Sacred Fig,tt32178949
MAKEUP AND HAIRSTYLING,2024,A Different Man,tt21097228
MUSIC (Original Song),2024,The Six Triple Eight,tt24458622
MUSIC (Original Song),2024,Elton John: Never Too Late,tt20316978
BEST PICTURE,2024,Nickel Boys,tt23055660
SHORT FILM (Live Action),2024,A Lien,tt27655666
SHORT FILM (Live Action),2024,Anuja,tt27654431
SHORT FILM (Live Action),2024,I'm Not a Robot,tt19837932
SHORT FILM (Live Action),2024,The Last Ranger,tt15802124
SHORT FILM (Live Action),2024,The Man Who Could Not Remain Silent,tt20519854
VISUAL EFFECTS,2024,Alien: Romulus,tt18412256
VISUAL EFFECTS,2024,Better Man,tt14260836
VISUAL EFFECTS,2024,Kingdom of the Planet of the Apes,tt11389872
WRITING (Original Screenplay),2024,September 5,tt28082769
