title,year,audience_score,critics_score,imdb_id,relaxed_title
watch the skies,2022,7.3,7.8,tt14807348,watch the skies
chainsaw man  the movie,2025,9.8,9.7,,chainsaw man the movie
the substance,2024,7.6,8.9,tt17526714,substance
the baltimorons,2025,8.3,9.4,tt35520290,baltimorons
the order,2024,8.9,9.3,tt26625693,order
the woman in cabin 10,2025,3.2,2.6,tt7130300,woman in cabin 10
late night with the devil,2023,8.2,9.7,tt14966898,late night with the devil
the little things,2021,6.7,4.4,tt10016180,little things
the black phone,2021,8.8,8.1,tt7144666,black phone
life of the party,2018,4.0,3.8,tt5619332,life of the party
the toxic avenger,2023,8.2,8.6,tt1633359,toxic avenger
gabbys dollhouse,2025,9.4,8.5,,gabbys dollhouse
the phoenician scheme,2025,7.1,7.7,tt30840798,phoenician scheme
the damned,2024,4.7,8.9,tt15010692,damned
the smashing machine,2025,7.5,7.0,tt11214558,smashing machine
the electric state,2025,6.7,1.4,tt7766378,electric state
the forgiven,2021,5.7,6.8,tt3696180,forgiven
the gorge,2025,7.5,6.2,tt13654226,gorge
the father,2020,8.8,9.8,tt10272386,father
kiss of the spider woman,2025,6.7,7.7,tt30400277,kiss of the spider woman
the amateur,2025,8.7,6.2,tt0899043,amateur
eleanor the great,2025,9.4,6.6,tt30268321,eleanor the great
the monkey,2025,5.5,7.7,tt27714946,monkey
downton abbey,2025,9.6,9.1,,downton abbey
the life of chuck,2024,8.8,8.0,tt12908150,life of chuck
the menu,2022,7.6,8.8,tt9764362,menu
the long walk,2025,8.5,8.8,tt10374610,long walk
mission,2025,8.8,8.0,,mission
the roses,2025,7.9,6.5,tt31973693,roses
the fantastic four,2025,9.1,8.6,,fantastic four
the holdovers,2023,9.2,9.7,tt14849194,holdovers
the conjuring,2025,7.8,5.9,,conjuring
the ballad of wallis island,2025,9.3,9.6,tt27674982,ballad of wallis island
i saw the tv glow,2024,7.1,8.5,tt15574270,i saw the tv glow
the naked gun,2025,7.3,8.8,tt3402138,naked gun
the outfit,2022,9.2,8.6,tt14114802,outfit
the invisible man,2020,8.8,9.2,tt1051906,invisible man
f1 the movie,2025,9.7,8.2,tt16311594,f1 the movie
the bad guys 2,2025,9.4,8.7,tt30017619,bad guys 2
the batman,2022,8.7,8.5,tt1877830,batman
night of the reaper,2025,6.3,7.9,tt34379050,night of the reaper
the brutalist,2024,8.0,9.3,tt8999762,brutalist
the voyeurs,2021,4.6,4.5,tt11235772,voyeurs
bridget jones,2025,7.3,8.8,,bridget jones
the man in my basement,2025,2.6,4.0,tt12619462,man in my basement
the cost,2023,9.1,8.3,,cost
the empty man,2020,6.1,7.3,tt5867314,empty man
the predator,2018,3.2,3.4,tt3829266,predator
the threesome,2025,7.1,7.8,tt21187592,threesome
winniethepooh,2023,4.9,0.3,,winniethepooh
the idea of you,2024,6.7,8.0,tt9466114,idea of you
the wrong paris,2025,6.1,6.7,tt33039440,wrong paris
the conjuring 2,2016,8.2,8.0,tt3065204,conjuring 2
the life list,2025,7.1,4.8,tt2172954,life list
roald dahls the witches,2020,3.2,5.0,,roald dahls the witches
the power of the dog,2021,7.6,9.4,tt10293406,power of the dog
the killing of a sacred deer,2017,6.3,7.9,tt5715874,killing of a sacred deer
woman of the hour,2023,6.8,9.1,tt7737800,woman of the hour
the handmaiden,2016,9.1,9.6,tt4016934,handmaiden
the favourite,2018,7.1,9.3,tt5083738,favourite
the dark and the wicked,2020,6.2,9.1,tt10229558,dark and the wicked
killers of the flower moon,2023,8.4,9.3,tt5537002,killers of the flower moon
the nun,2018,3.5,2.4,tt5814060,nun
the conjuring,2021,8.3,5.6,,conjuring
the autopsy of jane doe,2016,7.2,8.6,tt3289956,autopsy of jane doe
the endless,2017,6.7,9.1,tt3986820,endless
the wrath of becky,2023,7.7,8.9,tt20916568,wrath of becky
the devils bath,2024,6.2,9.1,tt29141112,devils bath
the gentlemen,2019,8.4,7.6,tt8367814,gentlemen
the surfer,2024,4.6,8.4,tt27813235,surfer
the greatest showman,2017,8.6,5.6,tt1485796,greatest showman
where the crawdads sing,2022,9.6,3.4,tt9411972,where the crawdads sing
the assessment,2024,9.2,8.4,tt32768323,assessment
the marvels,2023,7.9,6.3,tt10676048,marvels
kraven the hunter,2024,7.2,1.5,tt8790086,kraven the hunter
the blackening,2022,8.5,8.7,tt11703244,blackening
the wild robot,2024,9.8,9.7,tt29623480,wild robot
the accountant 2,2025,9.2,7.5,tt7068946,accountant 2
the dead dont die,2019,3.8,5.5,tt8695030,dead dont die
the nun ii,2023,7.2,5.1,tt10160976,nun ii
avatar,2022,9.2,7.6,,avatar
the mummy,2017,3.5,1.5,tt2345759,mummy
the hunger games,2023,8.9,6.4,,hunger games
leave the world behind,2023,3.6,7.3,tt12747748,leave the world behind
the first omen,2024,6.9,8.3,tt5672290,first omen
the lighthouse,2019,7.2,9.0,tt7984734,lighthouse
the watchers,2024,5.0,3.2,tt26736843,watchers
guardians of the galaxy vol 3,2023,9.4,8.2,tt6791350,guardians of the galaxy vol 3
the dark tower,2017,4.4,1.6,tt1648190,dark tower
shangchi and the legend of the ten rings,2021,9.8,9.2,tt9376612,shangchi and the legend of the ten rings
spinal tap ii,2025,9.0,6.6,,spinal tap ii
the boogeyman,2023,6.5,6.0,tt3427252,boogeyman
the family plan,2023,6.0,2.9,tt16431870,family plan
the wretched,2019,4.7,7.4,tt8305806,wretched
sonic the hedgehog 3,2024,9.5,8.6,tt18259086,sonic the hedgehog 3
the love witch,2016,6.1,9.5,tt3908142,love witch
blow the man down,2019,7.4,9.9,tt8299768,blow the man down
the stranger,2022,7.4,9.2,tt11897478,stranger
manchester by the sea,2016,7.8,9.6,tt4034228,manchester by the sea
the surrender,2025,4.8,8.5,tt33270263,surrender
the friend,2024,8.0,8.4,tt18108824,friend
emily the criminal,2022,7.9,9.3,tt15255876,emily the criminal
the wonderful story of henry sugar,2023,8.1,9.5,,wonderful story of henry sugar
the map that leads to you,2025,5.7,3.8,tt33549478,map that leads to you
the legend of ochi,2025,6.3,7.5,tt8866456,legend of ochi
the king of kings,2025,9.7,6.1,tt7967302,king of kings
the ritual,2025,4.7,0.9,tt32194932,ritual
the way back,2020,8.4,8.5,tt8544498,way back
apocalypse in the tropics,2024,8.1,9.0,tt30012657,apocalypse in the tropics
the penguin lessons,2024,9.5,7.7,tt26677014,penguin lessons
the count of monte cristo,2024,9.4,9.7,,count of monte cristo
the shape of water,2017,7.3,9.2,tt5580390,shape of water
the wolf of snow hollow,2020,6.4,9.0,tt11140488,wolf of snow hollow
the worst person in the world,2021,8.6,9.6,tt10370710,worst person in the world
the king,2019,8.4,7.1,tt7984766,king
the accountant,2016,7.7,5.3,tt2140479,accountant
maze runner,2018,5.8,4.3,,maze runner
all quiet on the western front,2022,9.0,9.0,tt1016150,all quiet on the western front
the pale blue eye,2022,6.9,6.2,tt14138650,pale blue eye
the killer,2023,6.1,8.5,tt1136617,killer
the iron claw,2023,9.4,8.9,tt21064584,iron claw
the crow,2024,6.2,2.2,tt1340094,crow
the alto knights,2025,7.0,4.0,tt21815562,alto knights
the strangers,2024,4.5,2.1,,strangers
star wars,2017,4.1,9.1,,star wars
the night house,2020,6.9,8.8,tt9731534,night house
the northman,2022,6.4,9.0,tt11138512,northman
guy ritchies the covenant,2023,9.8,8.2,,guy ritchies the covenant
the creator,2023,7.5,6.7,tt11858890,creator
the beekeeper,2024,9.2,7.1,tt15314262,beekeeper
scary stories to tell in the dark,2019,7.2,7.8,tt3387520,scary stories to tell in the dark
dr seuss the grinch,2018,5.4,6.0,,dr seuss the grinch
star wars,2019,8.6,5.1,,star wars
venom,2024,7.9,4.0,,venom
the popes exorcist,2023,8.0,5.1,tt13375076,popes exorcist
the fall guy,2024,8.4,8.2,tt1684562,fall guy
spiderman,2023,9.5,9.5,,spiderman
spiderman,2018,9.3,9.7,,spiderman
knock at the cabin,2023,6.3,6.7,tt15679400,knock at the cabin
the super mario bros movie,2023,9.5,5.9,tt6718170,super mario bros movie
doctor strange in the multiverse of madness,2022,8.5,7.3,tt9419884,doctor strange in the multiverse of madness
the irishman,2019,8.6,9.5,tt1302006,irishman
the guilty,2021,5.1,7.3,tt9421570,guilty
the boy and the heron,2023,8.8,9.6,tt6587046,boy and the heron
the grab,2022,9.2,8.2,,grab
the lodge,2019,5.1,7.5,tt7347846,lodge
minding the gap,2018,9.0,10.0,tt7476236,minding the gap
dont lets go to the dogs tonight,2024,8.4,9.1,,dont lets go to the dogs tonight
in the tall grass,2019,3.3,3.6,tt4687108,in the tall grass
the apprentice,2024,8.4,8.3,tt8368368,apprentice
the last rodeo,2025,9.5,6.9,tt30908405,last rodeo
the rule of jenny pen,2024,5.5,7.1,tt6874690,rule of jenny pen
the peanut butter falcon,2019,9.6,9.5,tt4364194,peanut butter falcon
demon slayer kimetsu no yaiba the movie,2020,9.9,9.8,,demon slayer kimetsu no yaiba the movie
in the lost lands,2025,4.8,2.4,tt4419684,in the lost lands
the flash,2023,8.1,6.3,tt0439572,flash
the old guard 2,2025,3.3,2.7,tt14961624,old guard 2
the jester,2023,2.6,2.5,tt26533869,jester
the platform,2019,7.3,8.1,tt8228288,platform
the suicide squad,2021,8.2,9.0,tt6334354,suicide squad
one cut of the dead,2017,8.4,10.0,tt7914416,one cut of the dead
under the silver lake,2018,5.9,5.8,tt5691670,under the silver lake
night of the zoopocalypse,2024,8.2,8.8,,night of the zoopocalypse
indiana jones and the dial of destiny,2023,8.7,7.1,tt1462764,indiana jones and the dial of destiny
the gray man,2022,9.0,4.6,tt1649418,gray man
the big sick,2017,8.8,9.8,tt5462602,big sick
the green knight,2021,5.0,8.9,tt9243804,green knight
the brothers grimsby,2016,4.1,3.7,tt3381008,brothers grimsby
kingdom of the planet of the apes,2024,7.7,8.0,tt11389872,kingdom of the planet of the apes
antman and the wasp,2023,8.1,4.6,,antman and the wasp
the purge,2016,4.8,5.5,,purge
fly me to the moon,2024,8.9,6.6,tt1896747,fly me to the moon
the emoji movie,2017,3.6,0.6,tt4877122,emoji movie
the bikeriders,2023,7.4,7.9,tt21454134,bikeriders
puss in boots,2022,9.4,9.5,,puss in boots
the exorcist,2023,5.7,2.2,,exorcist
the first purge,2018,2.8,5.5,tt6133466,first purge
godzilla x kong,2024,8.9,5.4,,godzilla x kong
the bad guys,2022,9.3,8.7,tt8115900,bad guys
a house of dynamite,2025,7.8,7.6,tt32376165,house of dynamite
the house that jack built,2018,6.5,5.9,tt4003440,house that jack built
bambi,2025,5.7,6.3,,bambi
the cloverfield paradox,2018,4.1,2.2,tt2548396,cloverfield paradox
hell house llc origins,2023,7.9,8.8,,hell house llc origins
the shrouds,2024,5.1,7.5,tt20212786,shrouds
the hunt,2020,6.6,5.7,tt8244784,hunt
the coffee table,2022,7.2,8.9,tt21874760,coffee table
the pickup,2025,3.6,2.5,tt30445556,pickup
the whale,2022,9.1,6.4,tt13833688,whale
jujutsu kaisen 0,2021,9.8,9.8,tt14331144,jujutsu kaisen 0
summer of soul or when the revolution could not be televised,2021,9.8,9.9,tt7378922,summer of soul or when the revolution could not be televised
the mitchells vs the machines,2021,8.9,9.7,tt7979580,mitchells vs the machines
brave the dark,2023,9.4,7.4,,brave the dark
john and the hole,2020,2.3,6.0,tt11307724,john and the hole
murder on the orient express,2017,5.4,6.0,tt3402236,murder on the orient express
the return,2024,7.6,7.8,tt19861162,return
the seed of the sacred fig,2024,9.4,9.7,tt32178949,seed of the sacred fig
the cursed,2021,5.4,7.1,tt9907782,cursed
the banshees of inisherin,2022,7.5,9.6,tt11813216,banshees of inisherin
the devil all the time,2020,7.9,6.5,tt7395114,devil all the time
the forever purge,2021,7.8,4.8,tt10327252,forever purge
springsteen,2025,8.3,5.9,,springsteen
the promised land,2023,9.5,9.7,tt20561198,promised land
the curse of la llorona,2019,3.5,2.6,tt4913966,curse of la llorona
judas and the black messiah,2021,9.5,9.6,tt9784798,judas and the black messiah
all the bright places,2020,6.2,6.7,tt3907584,all the bright places
the last voyage of the demeter,2023,7.3,5.0,tt1001520,last voyage of the demeter
the monster,2016,4.0,8.1,tt3976144,monster
the exorcism,2024,3.6,2.7,tt11240348,exorcism
the best christmas pageant ever,2024,9.7,9.2,tt2347285,best christmas pageant ever
the last duel,2021,8.1,8.5,tt4244994,last duel
in the shadow of the moon,2019,5.0,5.9,tt8110640,in the shadow of the moon
pirates of the caribbean,2017,6.0,3.0,,pirates of the caribbean
transformers,2023,9.1,5.1,,transformers
the house with a clock in its walls,2018,4.5,6.5,tt2119543,house with a clock in its walls
mission,2023,9.4,9.6,,mission
rocky iv,2021,9.3,7.2,,rocky iv
365 days,2020,3.6,0.0,tt10886166,365 days
descendent,2025,4.5,8.8,,descendent
downwind,2023,7.9,10.0,,downwind
last days,2025,7.1,3.1,,last days
death of a unicorn,2025,7.6,5.3,tt28443655,death of a unicorn
deadstream,2022,7.5,9.2,tt12788488,deadstream
dead of winter,2025,7.9,7.6,tt7574556,dead of winter
a different man,2024,8.9,9.3,tt21097228,different man
kpop demon hunters,2025,9.9,9.5,tt14205554,kpop demon hunters
dont move,2024,4.0,7.5,tt24807110,dont move
demon slayer,2025,9.8,9.8,,demon slayer
descendant,2022,6.4,10.0,,descendant
deep cover,2025,7.9,9.0,tt31121295,deep cover
dont look up,2021,7.8,5.6,tt11286314,dont look up
evil dead rise,2023,7.6,8.5,tt13345606,evil dead rise
until dawn,2025,6.7,5.1,tt30955489,until dawn
strange darling,2023,8.5,9.6,tt22375054,strange darling
play dirty,2025,4.2,4.3,tt18392014,play dirty
dont worry darling,2022,7.4,3.8,tt10731256,dont worry darling
dangerous animals,2025,7.4,8.7,tt32299316,dangerous animals
guillermo del toros pinocchio,2022,9.0,9.6,tt1488589,guillermo del toros pinocchio
magazine dreams,2023,8.9,8.0,tt13652142,magazine dreams
perfect days,2023,9.3,9.6,tt27503384,perfect days
no time to die,2021,8.8,8.3,tt2382320,no time to die
dog man,2025,8.1,8.1,tt10954718,dog man
downsizing,2017,2.5,4.7,tt1389072,downsizing
deep water,2022,2.5,3.5,tt2180339,deep water
final destination bloodlines,2025,8.6,9.2,tt9619824,final destination bloodlines
den of thieves,2018,6.3,4.2,tt1259528,den of thieves
joker,2024,3.1,3.1,,joker
doctor sleep,2019,8.9,7.8,tt5606664,doctor sleep
dont breathe,2016,7.9,8.8,tt4160708,dont breathe
honey dont,2025,4.0,4.5,tt30645201,honey dont
i know what you did last summer,2025,6.8,3.6,tt4045450,i know what you did last summer
dune,2021,9.0,8.3,,dune
disneys snow white,2025,6.9,3.9,,disneys snow white
drop,2025,7.9,8.3,tt32149847,drop
one of them days,2025,8.9,9.4,tt32221196,one of them days
deadpool  wolverine,2024,9.4,7.8,tt6263850,deadpool wolverine
dune,2024,9.5,9.2,,dune
baby driver,2017,8.6,9.2,tt3890160,baby driver
batman v superman,2016,6.3,2.8,,batman v superman
how to train your dragon,2025,9.7,7.7,tt26743210,how to train your dragon
jurassic world dominion,2022,7.7,2.9,tt8041270,jurassic world dominion
doin it,2024,9.5,5.0,,doin it
the witcher,2025,3.8,5.8,,witcher
damsel,2024,5.9,5.6,tt13452446,damsel
things will be different,2024,4.1,8.1,tt27491225,things will be different
dirty angels,2024,2.5,2.7,tt23872640,dirty angels
disappearance at clifton hill,2019,3.1,7.8,tt5919756,disappearance at clifton hill
dream scenario,2023,6.9,9.1,tt21942866,dream scenario
isle of dogs,2018,8.7,9.0,tt5104604,isle of dogs
fantastic beasts,2022,8.3,4.6,,fantastic beasts
dead mail,2024,6.8,9.3,tt26474783,dead mail
dunkirk,2017,8.1,9.2,tt5013056,dunkirk
megamind vs the doom syndicate,2024,0.8,0.9,tt31122323,megamind vs the doom syndicate
decision to leave,2022,8.4,9.4,tt12477480,decision to leave
doctor strange,2016,8.6,8.9,tt1211837,doctor strange
till death,2021,5.3,9.0,tt11804152,till death
army of the dead,2021,7.4,6.8,tt0993840,army of the dead
daughters,2024,9.1,10.0,,daughters
may december,2023,6.5,9.1,tt13651794,may december
the darkest minds,2018,7.0,1.5,tt4073790,darkest minds
den of thieves,2025,7.9,6.2,,den of thieves
death note,2017,2.3,3.6,tt1241317,death note
fifty shades darker,2017,4.8,1.1,tt4465564,fifty shades darker
darkest hour,2017,8.3,8.4,tt4555426,darkest hour
dungeons  dragons,2023,9.2,9.1,,dungeons dragons
despicable me 4,2024,8.6,5.5,tt7510222,despicable me 4
terminator,2019,8.2,7.0,,terminator
dark waters,2019,9.5,8.9,tt9071322,dark waters
insidious,2023,6.9,3.9,,insidious
bad boys,2024,9.6,6.5,,bad boys
deliver me from nowhere,2025,8.3,5.9,,deliver me from nowhere
how to train your dragon,2019,8.7,9.0,,how to train your dragon
the gangster the cop the devil,2019,9.4,9.7,tt10208198,gangster the cop the devil
76 days,2020,8.6,10.0,,76 days
his three daughters,2023,8.2,9.7,tt28491891,his three daughters
the diplomat,2025,8.7,4.7,tt26229612,diplomat
100 days to live,2019,9.1,10.0,tt10949778,100 days to live
the three musketeers,2023,8.0,9.8,,three musketeers
dragged across concrete,2018,6.7,7.6,tt6491178,dragged across concrete
die alone,2024,5.6,8.1,tt21097192,die alone
dont listen,2020,6.1,7.1,tt11750282,dont listen
daddys head,2024,5.2,8.4,tt26682012,daddys head
deepwater horizon,2016,8.2,8.2,tt1860357,deepwater horizon
