title,year,audience_score,critics_score,imdb_id,relaxed_title
ice road,2025,2.4,1.5,,ice road
rule breakers,2025,9.6,8.2,,rule breakers
wind river,2017,9.0,8.7,tt5362988,wind river
redeeming love,2022,9.5,1.1,tt11365186,redeeming love
relay,2024,8.9,8.1,tt11539996,relay
bohemian rhapsody,2018,8.5,6.0,tt1727824,bohemian rhapsody
jurassic world rebirth,2025,7.0,5.0,tt31036941,jurassic world rebirth
jojo rabbit,2019,9.4,8.1,tt2584384,jojo rabbit
a real pain,2024,8.2,9.6,tt21823606,real pain
hallow road,2025,5.2,9.1,tt19403516,hallow road
rust,2024,7.1,5.7,tt11001074,rust
alien,2024,8.5,8.0,,alien
red rooms,2023,7.6,9.6,tt22207786,red rooms
rosario,2025,4.7,7.0,tt27674700,rosario
thor,2017,8.7,9.3,,thor
she rides shotgun,2025,9.1,8.6,tt27986457,she rides shotgun
you were never really here,2017,6.4,8.9,tt5742374,you were never really here
reality,2023,6.7,9.4,tt24068064,reality
crazy rich asians,2018,7.6,9.1,tt3104988,crazy rich asians
self reliance,2023,5.7,7.3,tt26084002,self reliance
run rabbit run,2023,2.6,3.8,tt12547822,run rabbit run
tomb raider,2018,5.5,5.2,tt1365519,tomb raider
the greatest beer run ever,2022,9.1,4.3,tt10268488,greatest beer run ever
escape room,2019,5.4,5.1,tt5886046,escape room
joy ride,2023,8.1,9.0,tt15268244,joy ride
rogue one,2016,8.7,8.4,,rogue one
road house,2024,5.2,5.9,tt3359350,road house
red sonja,2025,5.5,5.6,tt0800175,red sonja
the matrix resurrections,2021,6.3,6.3,tt10838180,matrix resurrections
ready or not,2019,7.8,8.9,tt7798634,ready or not
revenge,2017,6.1,9.2,tt6738136,revenge
riff raff,2024,5.8,5.5,tt27775403,riff raff
risen,2016,7.0,5.3,tt3231054,risen
robin hood,2018,4.0,1.4,tt4532826,robin hood
blade runner 2049,2017,8.8,8.8,tt1856101,blade runner 2049
hacksaw ridge,2016,9.2,8.4,tt2119532,hacksaw ridge
first reformed,2017,6.9,9.4,tt6053438,first reformed
the art of racing in the rain,2019,9.6,4.4,tt1478839,art of racing in the rain
am i racist,2024,9.6,5.6,tt33034103,am i racist
red notice,2021,9.2,3.7,tt7991608,red notice
blood red sky,2021,5.8,8.1,tt6402468,blood red sky
roma,2018,7.2,9.6,tt6155172,roma
rebecca,2020,3.9,3.7,tt2235695,rebecca
reagan,2024,9.8,1.8,tt1723808,reagan
the rental,2020,4.7,7.3,tt10003008,rental
the remarkable life of ibelin,2024,9.5,9.7,tt19811010,remarkable life of ibelin
relic,2020,5.1,9.2,tt9072352,relic
red white  royal blue,2023,9.2,7.5,tt10172266,red white royal blue
birthrebirth,2023,7.3,9.5,tt9048804,birthrebirth
cha cha real smooth,2022,6.1,8.5,tt14376344,cha cha real smooth
rob peace,2024,9.4,7.5,tt10740926,rob peace
rogue agent,2022,6.6,7.2,tt9731386,rogue agent
red sparrow,2018,5.1,4.5,tt2873282,red sparrow
turning red,2022,6.7,9.5,tt8097030,turning red
the report,2019,8.2,8.3,tt8236336,report
jeepers creepers,2022,0.7,0.0,,jeepers creepers
the ice road,2021,3.1,4.3,tt3758814,ice road
renfield,2023,7.8,5.8,tt11358390,renfield
see how they run,2022,6.9,7.5,tt13640696,see how they run
white boy rick,2018,5.1,5.6,tt4537896,white boy rick
reunion,2024,5.1,4.0,tt15338966,reunion
isnt it romantic,2019,5.1,7.0,tt2452244,isnt it romantic
sabans power rangers,2017,6.5,5.1,,sabans power rangers
resident evil,2021,6.5,3.0,,resident evil
pacific rim uprising,2018,3.7,4.2,tt2557478,pacific rim uprising
jack reacher,2016,4.2,3.7,,jack reacher
ralph breaks the internet,2018,6.4,8.8,tt5848272,ralph breaks the internet
riders of justice,2020,8.9,9.6,tt11655202,riders of justice
rings,2017,2.3,0.8,tt0498381,rings
retribution,2023,6.7,3.0,tt6906292,retribution
825 forest road,2025,4.3,3.3,tt15173952,825 forest road
rye lane,2023,8.5,9.8,tt15893750,rye lane
running on empty,2024,6.4,1.6,,running on empty
high rollers,2025,7.9,2.0,tt27829510,high rollers
the last rifleman,2023,8.8,7.1,tt12404266,last rifleman
rambo,2019,8.1,2.6,,rambo
colors of evil,2024,5.4,8.0,,colors of evil
another round,2020,9.0,9.3,tt10288566,another round
bad times at the el royale,2018,7.5,7.5,tt6628394,bad times at the el royale
roald dahls matilda the musical,2022,7.2,9.3,,roald dahls matilda the musical
ricky stanicky,2024,6.9,4.5,tt1660648,ricky stanicky
the rescue,2021,9.9,9.6,tt9098872,rescue
superman,2024,9.8,9.8,tt5950044,superman
tom clancys without remorse,2021,4.1,4.5,,tom clancys without remorse
rampage,2018,7.1,5.1,tt2231461,rampage
ma raineys black bottom,2020,7.2,9.7,tt10514222,ma raineys black bottom
mechanic,2016,4.0,3.0,,mechanic
eli roth presents,2024,5.0,6.3,,eli roth presents
the front room,2024,4.2,4.0,tt21905744,front room
on the rocks,2020,5.0,8.7,tt9606374,on the rocks
king richard,2021,9.8,9.0,tt9620288,king richard
the royal hotel,2023,3.7,8.9,tt18363072,royal hotel
escape room,2021,7.5,5.2,,escape room
roman j israel esq,2017,5.7,5.5,tt6000478,roman j israel esq
christopher robin,2018,8.3,7.3,tt4575576,christopher robin
minions,2022,8.9,6.9,,minions
what remains,2022,7.0,6.0,,what remains
raymond  ray,2022,5.6,4.9,tt15334032,raymond ray
rocketman,2019,8.8,8.9,tt2066051,rocketman
rebel moon  part one,2024,7.3,5.3,,rebel moon part one
run hide fight,2020,9.3,3.0,tt11456054,run hide fight
how to rob a bank,2024,7.3,10.0,tt32308418,how to rob a bank
the rat catcher,2023,6.1,10.0,,rat catcher
do revenge,2022,7.7,8.6,tt13327038,do revenge
revelations,2025,6.2,6.8,tt32648798,revelations
sniper,2022,7.3,7.2,,sniper
queen of the ring,2024,8.8,7.3,tt28070202,queen of the ring
ultraman,2024,9.1,8.6,,ultraman
the poison rose,2019,2.1,0.0,tt5862166,poison rose
ill be right there,2024,6.0,8.6,,ill be right there
daniel isnt real,2019,5.6,8.4,tt8745960,daniel isnt real
jesus revolution,2023,9.9,5.4,tt10098448,jesus revolution
rumours,2024,2.9,7.5,tt30841606,rumours
red rocket,2021,7.5,9.0,tt13453006,red rocket
the ravenous,2017,5.8,8.8,tt6243140,ravenous
mary poppins returns,2018,6.5,7.9,tt5028340,mary poppins returns
rebel moon,2024,4.7,1.6,,rebel moon
the lost city of z,2016,5.8,8.5,tt1212428,lost city of z
demon city,2025,5.0,5.0,tt35111035,demon city
descendants,2024,4.3,5.7,,descendants
the roundup,2022,10.0,9.6,tt15838850,roundup
godzilla,2018,3.4,6.0,,godzilla
replicas,2018,3.3,0.9,tt4154916,replicas
crescent city,2024,2.1,1.4,,crescent city
asphalt city,2023,5.5,4.6,tt9663896,asphalt city
charm city kings,2020,6.7,7.9,tt9048840,charm city kings
the radleys,2024,3.2,6.9,tt22889928,radleys
occupied city,2023,5.9,7.2,,occupied city
murder at yellowstone city,2022,5.0,2.4,tt11552344,murder at yellowstone city
knuckle city,2019,8.0,10.0,,knuckle city
city of dreams,2024,9.1,5.2,,city of dreams
my spy,2024,3.5,2.3,,my spy
city hunter,2024,8.1,5.9,tt24478470,city hunter
paradise city,2022,2.1,1.4,tt14656632,paradise city
city of lies,2018,8.3,5.0,tt2677722,city of lies
valerian and the city of a thousand planets,2017,5.3,4.7,tt2239822,valerian and the city of a thousand planets
kokomo city,2023,7.1,9.9,,kokomo city
resident evil,2016,4.7,3.8,,resident evil
rons gone wrong,2021,9.4,8.2,tt7504818,rons gone wrong
rust creek,2018,6.1,8.5,tt6610158,rust creek
city of ghosts,2017,8.3,9.8,tt6333056,city of ghosts
asteroid city,2023,6.2,7.6,tt14230388,asteroid city
the lost city,2022,8.3,7.8,tt13320622,lost city
fabricated city,2017,7.5,7.1,tt6399158,fabricated city
city hall,2020,6.7,9.8,,city hall
john mulaney,2018,9.1,10.0,,john mulaney
gun city,2018,4.6,7.1,tt7104984,gun city
bad city,2022,7.6,7.7,,bad city
asura,2016,7.9,7.3,tt5918028,asura
city of joy,2016,7.1,10.0,,city of joy
city of tiny lights,2016,4.0,6.1,tt1966385,city of tiny lights
desperate souls dark city and the legend of midnight cowboy,2022,7.1,9.1,,desperate souls dark city and the legend of midnight cowboy
blues big city adventure,2022,8.4,8.3,,blues big city adventure
dawson city,2016,7.0,10.0,,dawson city
bomb city,2017,8.2,8.2,tt4351548,bomb city
oklahoma city,2017,8.8,9.7,tt6333090,oklahoma city
zone 414  city of robots,2021,3.9,1.7,,zone 414 city of robots
cut throat city,2020,3.8,7.2,tt3547306,cut throat city
citizen jane,2016,6.9,9.5,,citizen jane
charm city,2018,9.1,10.0,,charm city
karl marx city,2016,7.2,9.6,,karl marx city
dark city beneath the beat,2020,8.3,10.0,,dark city beneath the beat
in the last days of the city,2016,8.9,8.0,,in the last days of the city
ballad of a small player,2025,5.0,4.7,tt32063098,ballad of a small player
tron,2025,8.5,5.3,,tron
one battle after another,2025,8.5,9.5,tt30144839,one battle after another
it was just an accident,2025,8.2,9.7,tt36491653,it was just an accident
kantara,2025,9.2,8.3,,kantara
on becoming a guinea fowl,2024,6.7,10.0,tt32083311,on becoming a guinea fowl
anniversary,2025,7.9,6.9,tt12583926,anniversary
secret mall apartment,2024,8.8,9.8,tt21221386,secret mall apartment
a little prayer,2023,9.2,9.3,,little prayer
anemone,2025,5.9,5.4,tt33549447,anemone
adulthood,2025,8.0,6.7,tt26657977,adulthood
a big bold beautiful journey,2025,5.9,3.7,tt13650700,big bold beautiful journey
clown in a cornfield,2025,5.7,7.4,tt23060698,clown in a cornfield
still,2023,9.5,9.9,,still
aftersun,2022,8.1,9.6,tt19770238,aftersun
40 acres,2024,9.4,8.9,tt29634843,40 acres
last seen alive,2022,4.7,1.4,tt10242388,last seen alive
night always comes,2025,4.0,5.1,tt31567422,night always comes
americana,2025,7.7,6.5,,americana
all of you,2024,6.8,7.1,tt30852384,all of you
it comes at night,2017,4.4,8.8,tt4695012,it comes at night
a working man,2025,8.7,4.7,tt9150192,working man
truth  treason,2025,9.7,8.6,tt21825416,truth treason
things heard  seen,2021,2.3,3.9,tt10962368,things heard seen
once upon a time in hollywood,2019,7.0,8.6,tt7131622,once upon a time in hollywood
glass onion,2022,9.2,9.1,tt11564570,glass onion
are you there god its me margaret,2023,9.4,9.9,tt9185206,are you there god its me margaret
about my father,2023,8.1,3.7,tt8373206,about my father
captain america,2025,7.6,4.6,,captain america
wallace  gromit,2024,9.1,10.0,,wallace gromit
everything everywhere all at once,2022,7.9,9.3,tt6710474,everything everywhere all at once
tigers are not afraid,2017,7.9,9.7,tt4823434,tigers are not afraid
nightmare alley,2021,6.8,8.0,tt7740496,nightmare alley
a complete unknown,2024,9.5,8.2,tt11563598,complete unknown
all of us strangers,2023,9.1,9.6,tt21192142,all of us strangers
arrival,2016,8.3,9.4,tt2543164,arrival
a quiet place,2018,8.3,9.6,tt6644200,quiet place
lilo  stitch,2025,9.2,7.2,tt11655566,lilo stitch
anora,2024,8.4,9.3,tt28607951,anora
avengers,2019,9.0,9.4,,avengers
anyone but you,2023,8.7,5.3,tt26047818,anyone but you
a minecraft movie,2025,8.5,4.7,tt3566834,minecraft movie
after,2019,6.4,1.8,tt4126476,after
five nights at freddys,2023,8.6,3.3,tt4589218,five nights at freddys
a quiet place part ii,2021,9.2,9.1,tt8332922,quiet place part ii
abigail,2024,8.3,8.3,tt27489557,abigail
gonjiam,2018,7.5,9.2,,gonjiam
a silent voice,2016,9.4,9.5,,silent voice
to catch a killer,2023,6.0,5.3,tt10275534,to catch a killer
kantara,2022,7.9,8.3,tt15327088,kantara
arcadian,2024,5.6,7.8,tt22939186,arcadian
eye for an eye,2025,8.9,9.2,,eye for an eye
a nice indian boy,2024,9.7,9.5,tt16431330,nice indian boy
portrait of a lady on fire,2019,9.2,9.7,tt8613070,portrait of a lady on fire
no one gets out alive,2021,3.9,6.8,tt13056008,no one gets out alive
in a violent nature,2024,4.4,7.8,tt30321146,in a violent nature
we have a ghost,2023,6.1,4.4,tt7798604,we have a ghost
a man called otto,2022,9.7,7.0,tt7405458,man called otto
a widows game,2025,6.0,4.6,tt33474172,widows game
the weekend away,2022,3.7,4.2,tt14817272,weekend away
ad astra,2019,4.0,8.3,tt2935510,ad astra
anatomy of a fall,2023,9.1,9.6,tt17009710,anatomy of a fall
to all the boys ive loved before,2018,8.4,9.6,tt3846674,to all the boys ive loved before
atlas,2024,4.7,1.8,tt14856980,atlas
what keeps you alive,2018,4.5,8.2,tt7073710,what keeps you alive
get away,2024,4.7,7.6,tt10449276,get away
back in action,2025,6.0,3.0,tt21191806,back in action
apostle,2018,5.3,7.9,tt6217306,apostle
all we imagine as light,2024,7.1,10.0,tt32086077,all we imagine as light
you wont be alone,2022,7.3,9.3,tt8296030,you wont be alone
annabelle,2017,6.8,7.0,,annabelle
american sweatshop,2025,5.9,8.1,tt32387554,american sweatshop
bonhoeffer,2024,9.2,6.6,,bonhoeffer
thor,2022,7.6,6.3,,thor
alien,2017,5.5,6.5,,alien
ordinary angels,2024,9.9,8.4,tt4996328,ordinary angels
argylle,2024,7.0,3.3,tt15009428,argylle
amsterdam,2022,6.1,3.1,tt10304142,amsterdam
apartment 7a,2024,6.5,4.5,tt14371860,apartment 7a
ash,2025,5.3,7.1,tt17489650,ash
furiosa,2024,8.8,9.0,,furiosa
the addams family,2019,7.0,4.6,tt1620981,addams family
annihilation,2018,6.7,8.8,tt2798920,annihilation
ghostbusters,2021,9.4,6.3,,ghostbusters
beau is afraid,2023,7.1,6.7,tt13521006,beau is afraid
solo,2018,6.3,6.9,tt6699860,solo
angel has fallen,2019,9.3,3.8,tt6189022,angel has fallen
bones and all,2022,6.3,8.2,tt10168670,bones and all
a haunting in venice,2023,7.6,7.6,tt22687790,haunting in venice
el camino,2019,8.1,9.2,tt9243946,el camino
my old ass,2024,8.9,9.0,tt18559464,my old ass
a cure for wellness,2016,4.2,4.2,tt4731136,cure for wellness
american made,2017,7.9,8.5,tt3532216,american made
air,2023,9.7,9.3,tt16419074,air
a star is born,2018,8.0,9.0,tt1517451,star is born
gran turismo,2023,9.8,6.5,tt4495098,gran turismo
a simple favor,2018,7.2,8.4,tt7040874,simple favor
black adam,2022,8.7,3.9,tt6443346,black adam
am i ok,2022,6.2,8.1,tt11225626,am i ok
aladdin,2019,9.4,5.7,tt6139732,aladdin
guns  moses,2024,9.3,7.3,,guns moses
all the world is sleeping,2021,9.5,10.0,,all the world is sleeping
gretel  hansel,2020,2.3,6.3,tt9086228,gretel hansel
how to blow up a pipeline,2022,6.6,9.5,tt21440780,how to blow up a pipeline
in the land of saints and sinners,2023,7.4,8.3,tt15782690,in the land of saints and sinners
another simple favor,2025,3.5,5.9,tt20214908,another simple favor
a family affair,2024,3.1,3.6,tt21051906,family affair
alone,2020,5.5,9.3,tt7711170,alone
jane austen wrecked my life,2024,8.5,8.3,tt31112509,jane austen wrecked my life
the adam project,2022,7.3,6.8,tt2463208,adam project
a ghost story,2017,6.7,9.1,tt6265828,ghost story
to kill a wolf,2024,9.6,10.0,,to kill a wolf
a hero,2021,8.3,9.7,tt11777738,hero
assassins creed,2016,4.2,1.8,tt2094766,assassins creed
azrael,2024,5.9,7.1,tt22173666,azrael
annabelle comes home,2019,7.0,6.4,tt8350360,annabelle comes home
alive,2020,6.3,8.8,tt10620868,alive
afraid,2024,5.0,2.5,tt24577462,afraid
aquaman and the lost kingdom,2023,7.9,3.3,tt9663764,aquaman and the lost kingdom
american fiction,2023,9.5,9.3,tt23561236,american fiction
king arthur,2017,6.9,3.1,,king arthur
arctic,2018,7.8,9.1,tt6820256,arctic
hell of a summer,2023,5.3,4.9,tt21267296,hell of a summer
holmes  watson,2018,2.6,1.0,tt1255919,holmes watson
atomic blonde,2017,6.4,7.9,tt2406566,atomic blonde
fantastic beasts and where to find them,2016,7.9,7.4,tt3183660,fantastic beasts and where to find them
alita,2019,9.1,6.1,,alita
love and monsters,2020,8.9,9.4,tt2222042,love and monsters
wendell  wild,2022,6.4,8.0,tt5181830,wendell wild
birds of prey and the fantabulous emancipation of one harley quinn,2020,7.8,7.9,tt7713068,birds of prey and the fantabulous emancipation of one harley quinn
the night eats the world,2018,5.2,8.7,tt4266076,night eats the world
jerry  marge go large,2022,7.9,6.7,,jerry marge go large
animal,2023,8.1,2.6,tt13751694,animal
anna,2019,8.1,3.4,tt7456310,anna
ad vitam,2025,3.3,4.3,tt32138452,ad vitam
the vast of night,2019,6.6,9.2,tt6803046,vast of night
abducted in plain sight,2017,7.4,7.4,tt3444312,abducted in plain sight
a classic horror story,2021,3.5,5.5,tt12877640,classic horror story
stay the night,2022,7.7,8.8,,stay the night
apollo 11,2019,9.0,9.9,tt8760684,apollo 11
i care a lot,2020,3.6,7.9,tt9893250,i care a lot
memoir of a snail,2024,8.2,9.5,tt23770030,memoir of a snail
anything for jackson,2020,7.1,9.7,tt12137964,anything for jackson
werewolf by night,2022,8.9,9.0,,werewolf by night
kubo and the two strings,2016,8.6,9.7,tt4302938,kubo and the two strings
silent night,2021,4.7,6.7,tt11628854,silent night
night shift,2023,8.3,7.8,tt13380324,night shift
live by night,2016,4.2,3.5,tt2361317,live by night
extremely wicked shockingly evil and vile,2019,5.7,5.4,tt2481498,extremely wicked shockingly evil and vile
horizon,2024,7.0,5.1,,horizon
alice through the looking glass,2016,4.8,2.9,tt2567026,alice through the looking glass
aquaman,2018,7.2,6.6,tt1477834,aquaman
the strangers,2018,3.6,4.0,,strangers
my life as a zucchini,2016,8.9,9.9,tt2321405,my life as a zucchini
winnie the pooh,2024,7.3,4.5,,winnie the pooh
game night,2018,7.8,8.5,tt2704998,game night
our souls at night,2017,7.6,9.1,tt5034266,our souls at night
xmen,2016,6.5,4.7,,xmen
beauty and the beast,2017,8.0,7.1,tt2771200,beauty and the beast
nocturnal animals,2016,7.4,7.4,tt4550098,nocturnal animals
the girl with all the gifts,2016,6.7,8.6,tt4547056,girl with all the gifts
last night in soho,2021,8.9,7.5,tt9639470,last night in soho
antman and the wasp,2018,7.9,8.7,tt5095030,antman and the wasp
saturday night,2024,8.3,7.7,tt27657135,saturday night
violent night,2022,8.8,7.4,tt12003946,violent night
night swim,2024,4.2,1.9,tt9682428,night swim
the night of the 12th,2022,9.3,9.4,tt16953666,night of the 12th
against the night,2017,8.8,0.9,tt7138894,against the night
gone in the night,2022,1.8,4.4,tt15426294,gone in the night
the night is short walk on girl,2017,8.6,9.0,tt6335734,night is short walk on girl
vanished into the night,2024,1.9,4.3,tt14034294,vanished into the night
the night clerk,2020,3.1,3.4,tt7979142,night clerk
the spine of night,2021,6.3,8.0,tt3885422,spine of night
the night comes for us,2018,8.3,9.2,tt6116856,night comes for us
one night in miami,2020,7.8,9.8,tt10612922,one night in miami
night raiders,2021,4.7,8.3,tt9568230,night raiders
the greatest night in pop,2024,8.9,9.8,tt30796448,greatest night in pop
night of the hunted,2023,3.3,6.4,tt23642744,night of the hunted
nightride,2021,9.6,8.6,,nightride
night teeth,2021,4.9,3.8,tt10763820,night teeth
fear the night,2023,2.1,3.1,tt19848268,fear the night
late night,2019,7.7,8.0,tt6107548,late night
night at the museum,2022,3.6,7.7,,night at the museum
the 8th night,2021,3.9,7.1,tt14781176,8th night
night school,2018,3.8,2.7,tt6781982,night school
rough night,2017,2.9,4.5,tt4799050,rough night
silent night,2023,5.0,6.0,tt15799866,silent night
night in paradise,2020,7.5,6.8,tt12792418,night in paradise
the long night,2022,2.4,4.1,tt10509906,long night
the night stalker,2016,5.0,8.3,,night stalker
the passengers of the night,2022,6.3,9.0,tt13846402,passengers of the night
night comes on,2018,7.5,9.8,,night comes on
good night oppy,2022,10.0,8.7,tt14179942,good night oppy
personality crisis,2022,6.8,10.0,,personality crisis
the night,2020,4.7,8.1,tt8102806,night
black as night,2021,3.0,7.0,tt13372884,black as night
night at the eagle inn,2021,3.5,8.0,,night at the eagle inn
night drive,2021,5.7,10.0,tt15477096,night drive
sword art online the movie progressive aria of a starless night,2021,9.5,8.3,,sword art online the movie progressive aria of a starless night
manhattan night,2016,5.2,3.5,tt3100274,manhattan night
survive the night,2020,5.1,1.3,tt10303324,survive the night
on the beach at night alone,2017,6.9,9.2,tt6412864,on the beach at night alone
the night watchmen,2016,6.6,8.6,tt4102722,night watchmen
the sunlit night,2019,6.4,3.1,tt8368394,sunlit night
nights end,2022,1.8,4.8,,nights end
lost in the night,2023,6.7,6.0,,lost in the night
on a magical night,2019,3.3,6.5,tt10115562,on a magical night
sword art online the movie,2022,9.2,4.2,,sword art online the movie
that good night,2017,5.0,4.8,,that good night
here and now blue night,2018,1.3,2.3,,here and now blue night
night of the animated dead,2021,3.6,2.2,,night of the animated dead
silent night,2020,2.7,4.3,tt11628854,silent night
the last night of amore,2023,8.5,8.6,tt20465746,last night of amore
beyond the night,2018,7.6,8.6,,beyond the night
dark night,2017,2.8,6.1,,dark night
american night,2021,8.8,2.9,tt5344054,american night
a midsummer nights dream,2017,6.5,6.5,,midsummer nights dream
amateur night,2016,2.5,0.0,tt4265508,amateur night
one night in bangkok,2020,3.5,3.3,tt12192190,one night in bangkok
night of something strange,2016,3.7,6.0,tt3315380,night of something strange
exterior night,2022,8.2,8.9,,exterior night
night shift,2020,4.0,6.7,tt9850344,night shift
the night sitter,2018,5.8,7.8,,night sitter
take back the night,2021,4.4,7.3,,take back the night
this is the night,2021,4.8,1.4,,this is the night
night of the kings,2020,6.3,9.6,tt8132778,night of the kings
opening night,2016,6.4,8.3,tt4156972,opening night
take the night,2022,7.6,7.7,,take the night
spa night,2016,6.0,9.6,,spa night
summer night,2019,2.2,5.5,,summer night
queen of hearts,2019,8.0,9.7,tt8378126,queen of hearts
queen of katwe,2016,8.6,9.4,tt4341582,queen of katwe
somewhere quiet,2023,2.7,9.3,tt15479438,somewhere quiet
the quiet ones,2025,9.9,4.2,,quiet ones
blood quantum,2019,4.1,9.0,tt7394674,blood quantum
the babysitter,2020,5.7,4.6,,babysitter
the man who killed don quixote,2018,6.0,6.6,tt1318517,man who killed don quixote
haunting of the queen mary,2023,5.0,6.0,tt3463938,haunting of the queen mary
mountain queen,2023,9.0,10.0,,mountain queen
scream queen my nightmare on elm street,2019,8.8,10.0,tt5123896,scream queen my nightmare on elm street
the quiet girl,2022,9.3,9.7,tt15109082,quiet girl
somewhere in queens,2022,9.2,9.2,tt14097180,somewhere in queens
the queen of black magic,2020,7.3,9.1,tt10656188,queen of black magic
the queens corgi,2019,3.6,0.0,tt6563576,queens corgi
soft  quiet,2022,4.5,8.4,tt14557188,soft quiet
queer,2024,6.5,7.7,tt24176060,queer
fear street,2025,2.4,2.7,,fear street
quiz lady,2023,7.9,8.3,tt13405810,quiz lady
mary queen of scots,2018,4.1,6.2,tt2328900,mary queen of scots
queen  slim,2019,9.2,8.2,tt8722346,queen slim
margrete,2021,7.5,9.5,,margrete
queen bees,2021,8.9,5.5,tt8338076,queen bees
qala,2022,8.1,8.0,tt14428598,qala
batman and harley quinn,2017,5.1,5.0,tt6556890,batman and harley quinn
quezons game,2018,6.5,4.5,,quezons game
the quintessential quintuplets movie,2022,9.6,9.2,tt15721650,quintessential quintuplets movie
quasi,2023,6.2,4.1,tt1609497,quasi
the velvet queen,2021,8.6,10.0,tt11937680,velvet queen
queenpins,2021,8.2,4.8,tt9054192,queenpins
quantum cowboys,2022,9.0,10.0,,quantum cowboys
the quarry,2020,3.8,4.2,tt10151054,quarry
the elephant queen,2018,8.8,9.1,tt6722976,elephant queen
qt8,2019,8.6,9.2,,qt8
quicksand,2023,2.1,3.3,,quicksand
the quake,2018,6.5,8.5,tt6523720,quake
a quiet passion,2016,4.8,9.2,tt2392830,quiet passion
quo vadis aida,2020,9.0,10.0,tt8633462,quo vadis aida
dancing queens,2021,5.8,4.0,tt13032716,dancing queens
qu culpa tiene el nio,2016,5.4,5.4,,qu culpa tiene el nio
not going quietly,2021,9.1,10.0,,not going quietly
queendom,2023,5.5,10.0,,queendom
queer planet,2023,5.3,10.0,,queer planet
the queen of spain,2016,3.7,3.0,tt2411144,queen of spain
sky ladder,2016,8.5,10.0,,sky ladder
space wars,2023,8.6,6.0,,space wars
quincy,2018,8.2,8.2,tt7440432,quincy
a question of faith,2017,7.6,4.0,,question of faith
queens on the run,2023,4.0,2.0,,queens on the run
never surrender,2020,9.2,10.0,,never surrender
all the queens horses,2017,9.6,8.0,,all the queens horses
the quiet epidemic,2022,9.6,10.0,,quiet epidemic
queer japan,2019,8.3,10.0,,queer japan
queen marie,2019,7.8,6.3,,queen marie
the warrior queen of jhansi,2019,7.8,2.9,,warrior queen of jhansi
queenmaker,2023,2.2,8.3,,queenmaker
jim gaffigan,2019,9.1,10.0,,jim gaffigan
the dog who wouldnt be quiet,2021,7.5,10.0,,dog who wouldnt be quiet
the quietude,2018,6.4,6.4,,quietude
keep quiet,2016,7.5,10.0,,keep quiet
eat that question,2016,7.4,9.2,,eat that question
the quiet one,2019,9.3,6.4,,quiet one
quest,2017,7.5,9.8,,quest
suzi q,2019,9.5,10.0,,suzi q
us,2019,6.1,9.3,tt6857112,us
underwater,2020,6.0,4.8,tt5774060,underwater
set it up,2018,6.9,9.2,tt5304992,set it up
unknown number,2025,6.9,8.5,,unknown number
the upside,2019,8.2,4.3,,upside
wish upon,2017,3.1,2.0,tt5322012,wish upon
hurry up tomorrow,2025,6.1,1.4,tt26927452,hurry up tomorrow
possessor,2020,5.9,9.4,tt5918982,possessor
universal language,2024,7.6,9.5,tt31691389,universal language
the union,2024,2.4,3.5,tt12610390,union
uncut gems,2019,5.2,9.1,tt5727208,uncut gems
the mountain between us,2017,4.9,3.9,tt2226597,mountain between us
the unbreakable boy,2025,9.7,4.3,tt5181260,unbreakable boy
guns up,2025,7.7,6.1,tt28026215,guns up
my heart cant beat unless you tell it to,2020,6.1,9.8,tt11084432,my heart cant beat unless you tell it to
unhinged,2020,7.7,4.9,tt10059518,unhinged
the unforgivable,2021,7.5,3.8,tt11233960,unforgivable
handling the undead,2024,4.3,7.6,tt2118648,handling the undead
unfriended,2018,4.1,6.0,,unfriended
unfrosted,2024,4.9,3.9,tt14914430,unfrosted
upgraded,2024,6.5,7.6,tt21830902,upgraded
uglies,2024,4.3,1.4,tt13186604,uglies
the unholy,2021,5.7,2.7,tt9419056,unholy
under paris,2024,3.0,6.4,tt13964390,under paris
it ends with us,2024,8.8,5.4,tt10655524,it ends with us
6 underground,2019,6.0,3.6,tt8106534,6 underground
the unbearable weight of massive talent,2022,8.7,8.7,tt11291274,unbearable weight of massive talent
american underdog,2021,9.8,7.5,tt11729298,american underdog
upgrade,2018,8.8,8.8,tt6499752,upgrade
uncharted,2022,8.9,4.1,tt1464335,uncharted
the breaker upperers,2018,5.1,8.9,tt6728096,breaker upperers
uss indianapolis,2016,2.9,1.8,,uss indianapolis
concrete utopia,2023,7.5,10.0,tt13086266,concrete utopia
unlocked,2017,4.5,2.6,tt1734493,unlocked
uprising,2024,7.9,8.0,tt27987046,uprising
dont hang up,2016,3.2,3.3,tt3610746,dont hang up
the untamed,2016,5.7,8.6,tt5265960,untamed
uproar,2023,8.4,10.0,,uproar
deliver us,2023,5.9,6.5,tt14462452,deliver us
i used to be funny,2023,6.8,8.3,tt16300138,i used to be funny
the unlikely pilgrimage of harold fry,2023,7.6,7.4,tt14097206,unlikely pilgrimage of harold fry
evangelion,2021,9.1,10.0,,evangelion
the minute you wake up dead,2022,1.9,0.0,tt11833408,minute you wake up dead
unsane,2018,5.9,8.0,tt7153766,unsane
somebody i used to know,2023,6.0,7.1,tt15333984,somebody i used to know
kesari chapter 2,2025,9.7,3.9,,kesari chapter 2
showing up,2022,4.7,8.9,tt13923216,showing up
