title,year,audience_score,critics_score,imdb_id,relaxed_title
jeepers creepers,2022,0.7,0.0,,jeepers creepers
sabans power rangers,2017,6.5,5.1,,sabans power rangers
resident evil,2021,6.5,3.0,,resident evil
jack reacher,2016,4.2,3.7,,jack reacher
running on empty,2024,6.4,1.6,,running on empty
rambo,2019,8.1,2.6,,rambo
colors of evil,2024,5.4,8.0,,colors of evil
roald dahls matilda the musical,2022,7.2,9.3,,roald dahls matilda the musical
tom clancys without remorse,2021,4.1,4.5,,tom clancys without remorse
mechanic,2016,4.0,3.0,,mechanic
eli roth presents,2024,5.0,6.3,,eli roth presents
escape room,2021,7.5,5.2,,escape room
minions,2022,8.9,6.9,,minions
what remains,2022,7.0,6.0,,what remains
rebel moon  part one,2024,7.3,5.3,,rebel moon part one
the rat catcher,2023,6.1,10.0,,rat catcher
sniper,2022,7.3,7.2,,sniper
ultraman,2024,9.1,8.6,,ultraman
ill be right there,2024,6.0,8.6,,ill be right there
rebel moon,2024,4.7,1.6,,rebel moon
descendants,2024,4.3,5.7,,descendants
godzilla,2018,3.4,6.0,,godzilla
crescent city,2024,2.1,1.4,,crescent city
occupied city,2023,5.9,7.2,,occupied city
knuckle city,2019,8.0,10.0,,knuckle city
city of dreams,2024,9.1,5.2,,city of dreams
my spy,2024,3.5,2.3,,my spy
kokomo city,2023,7.1,9.9,,kokomo city
resident evil,2016,4.7,3.8,,resident evil
city hall,2020,6.7,9.8,,city hall
john mulaney,2018,9.1,10.0,,john mulaney
bad city,2022,7.6,7.7,,bad city
city of joy,2016,7.1,10.0,,city of joy
desperate souls dark city and the legend of midnight cowboy,2022,7.1,9.1,,desperate souls dark city and the legend of midnight cowboy
blues big city adventure,2022,8.4,8.3,,blues big city adventure
dawson city,2016,7.0,10.0,,dawson city
zone 414  city of robots,2021,3.9,1.7,,zone 414 city of robots
citizen jane,2016,6.9,9.5,,citizen jane
charm city,2018,9.1,10.0,,charm city
karl marx city,2016,7.2,9.6,,karl marx city
dark city beneath the beat,2020,8.3,10.0,,dark city beneath the beat
in the last days of the city,2016,8.9,8.0,,in the last days of the city
tron,2025,8.5,5.3,,tron
kantara,2025,9.2,8.3,,kantara
a little prayer,2023,9.2,9.3,,little prayer
still,2023,9.5,9.9,,still
americana,2025,7.7,6.5,,americana
captain america,2025,7.6,4.6,,captain america
wallace  gromit,2024,9.1,10.0,,wallace gromit
avengers,2019,9.0,9.4,,avengers
gonjiam,2018,7.5,9.2,,gonjiam
a silent voice,2016,9.4,9.5,,silent voice
eye for an eye,2025,8.9,9.2,,eye for an eye
annabelle,2017,6.8,7.0,,annabelle
bonhoeffer,2024,9.2,6.6,,bonhoeffer
thor,2022,7.6,6.3,,thor
alien,2017,5.5,6.5,,alien
furiosa,2024,8.8,9.0,,furiosa
ghostbusters,2021,9.4,6.3,,ghostbusters
guns  moses,2024,9.3,7.3,,guns moses
all the world is sleeping,2021,9.5,10.0,,all the world is sleeping
to kill a wolf,2024,9.6,10.0,,to kill a wolf
king arthur,2017,6.9,3.1,,king arthur
alita,2019,9.1,6.1,,alita
jerry  marge go large,2022,7.9,6.7,,jerry marge go large
stay the night,2022,7.7,8.8,,stay the night
werewolf by night,2022,8.9,9.0,,werewolf by night
horizon,2024,7.0,5.1,,horizon
the strangers,2018,3.6,4.0,,strangers
winnie the pooh,2024,7.3,4.5,,winnie the pooh
xmen,2016,6.5,4.7,,xmen
nightride,2021,9.6,8.6,,nightride
night at the museum,2022,3.6,7.7,,night at the museum
the night stalker,2016,5.0,8.3,,night stalker
night comes on,2018,7.5,9.8,,night comes on
personality crisis,2022,6.8,10.0,,personality crisis
night at the eagle inn,2021,3.5,8.0,,night at the eagle inn
sword art online the movie progressive aria of a starless night,2021,9.5,8.3,,sword art online the movie progressive aria of a starless night
nights end,2022,1.8,4.8,,nights end
lost in the night,2023,6.7,6.0,,lost in the night
sword art online the movie,2022,9.2,4.2,,sword art online the movie
that good night,2017,5.0,4.8,,that good night
here and now blue night,2018,1.3,2.3,,here and now blue night
night of the animated dead,2021,3.6,2.2,,night of the animated dead
beyond the night,2018,7.6,8.6,,beyond the night
dark night,2017,2.8,6.1,,dark night
a midsummer nights dream,2017,6.5,6.5,,midsummer nights dream
exterior night,2022,8.2,8.9,,exterior night
the night sitter,2018,5.8,7.8,,night sitter
take back the night,2021,4.4,7.3,,take back the night
this is the night,2021,4.8,1.4,,this is the night
take the night,2022,7.6,7.7,,take the night
spa night,2016,6.0,9.6,,spa night
summer night,2019,2.2,5.5,,summer night
the quiet ones,2025,9.9,4.2,,quiet ones
the babysitter,2020,5.7,4.6,,babysitter
mountain queen,2023,9.0,10.0,,mountain queen
fear street,2025,2.4,2.7,,fear street
margrete,2021,7.5,9.5,,margrete
quezons game,2018,6.5,4.5,,quezons game
quantum cowboys,2022,9.0,10.0,,quantum cowboys
qt8,2019,8.6,9.2,,qt8
quicksand,2023,2.1,3.3,,quicksand
qu culpa tiene el nio,2016,5.4,5.4,,qu culpa tiene el nio
not going quietly,2021,9.1,10.0,,not going quietly
queendom,2023,5.5,10.0,,queendom
queer planet,2023,5.3,10.0,,queer planet
sky ladder,2016,8.5,10.0,,sky ladder
space wars,2023,8.6,6.0,,space wars
a question of faith,2017,7.6,4.0,,question of faith
queens on the run,2023,4.0,2.0,,queens on the run
never surrender,2020,9.2,10.0,,never surrender
all the queens horses,2017,9.6,8.0,,all the queens horses
the quiet epidemic,2022,9.6,10.0,,quiet epidemic
queer japan,2019,8.3,10.0,,queer japan
queen marie,2019,7.8,6.3,,queen marie
the warrior queen of jhansi,2019,7.8,2.9,,warrior queen of jhansi
queenmaker,2023,2.2,8.3,,queenmaker
jim gaffigan,2019,9.1,10.0,,jim gaffigan
the dog who wouldnt be quiet,2021,7.5,10.0,,dog who wouldnt be quiet
the quietude,2018,6.4,6.4,,quietude
keep quiet,2016,7.5,10.0,,keep quiet
eat that question,2016,7.4,9.2,,eat that question
the quiet one,2019,9.3,6.4,,quiet one
quest,2017,7.5,9.8,,quest
suzi q,2019,9.5,10.0,,suzi q
unknown number,2025,6.9,8.5,,unknown number
the upside,2019,8.2,4.3,,upside
unfriended,2018,4.1,6.0,,unfriended
